A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,VEH_NO,PER_NO,ST_CASE,YEAR,A_PTYPE,A_REST,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC
2,2,5,2,2,2,4,2,2,1,1,10080,2009,1,1,1,2,1,1,1,1,1
2,2,5,2,2,2,4,1,2,2,1,10080,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,1,10081,2009,1,2,4,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,1,2,10081,2009,2,2,3,1,1,2,2,1,1
3,5,8,5,5,5,7,3,2,1,3,10081,2009,2,2,3,1,1,2,2,1,1
3,5,8,5,5,5,7,4,2,1,1,10082,2009,1,1,3,1,1,2,1,1,1
4,5,10,6,7,7,9,6,2,2,1,10082,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,2,2,10082,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,10083,2009,1,1,4,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,2,1,10083,2009,1,1,3,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,1,1,10084,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,2,10084,2009,2,1,1,2,1,1,1,1,1
2,2,5,2,2,2,4,2,2,1,3,10084,2009,2,2,3,0,0,0,2,6,1
3,5,8,5,5,5,7,3,2,1,4,10084,2009,2,2,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,1,5,10084,2009,2,2,3,0,0,0,2,6,1
2,3,6,3,3,3,5,2,2,2,1,10084,2009,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,1,10085,2009,1,2,1,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,1,1,10086,2009,1,2,2,1,2,3,2,1,1
3,4,7,4,4,4,6,3,2,1,1,10087,2009,1,2,2,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,1,2,10087,2009,2,2,3,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,1,10088,2009,1,1,4,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,2,10088,2009,2,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,3,10088,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,1,10088,2009,1,2,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,3,1,10088,2009,1,1,3,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,3,2,10088,2009,2,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,1,1,10089,2009,1,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,2,1,10089,2009,1,2,1,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,1,1,10090,2009,1,2,2,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,1,10091,2009,1,1,1,1,1,2,1,1,1
4,5,10,6,7,7,9,6,2,1,2,10091,2009,2,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,1,3,10091,2009,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,1,10092,2009,1,2,1,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,2,1,10092,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,0,1,10093,2009,3,2,1,1,1,2,1,1,3
4,5,10,6,7,7,9,5,2,1,1,10093,2009,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,1,1,10094,2009,1,2,1,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,1,1,10095,2009,1,2,1,1,1,2,2,1,1
3,4,7,4,4,4,6,2,2,1,1,10096,2009,1,2,4,1,1,2,2,1,1
4,5,11,7,8,8,10,6,2,1,1,10097,2009,1,2,3,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,2,1,10097,2009,1,3,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,1,1,10098,2009,1,2,2,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,1,10099,2009,1,2,1,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,2,10099,2009,2,2,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,2,1,10099,2009,1,1,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,2,2,10099,2009,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,2,3,10099,2009,2,2,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,1,10100,2009,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,2,10100,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,3,10100,2009,2,1,3,1,1,2,1,1,1
2,2,5,2,2,2,4,2,2,2,1,10100,2009,1,2,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,1,10101,2009,1,2,2,1,2,3,2,1,1
2,3,6,3,3,3,5,2,2,2,1,10101,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,1,10102,2009,1,2,1,1,1,2,2,1,1
2,2,5,2,2,2,4,1,2,1,1,10103,2009,1,2,4,1,2,3,1,1,1
3,5,8,5,5,5,7,3,2,0,1,10104,2009,3,2,2,1,1,2,1,1,3
3,5,9,6,6,6,8,4,2,1,1,10104,2009,1,1,2,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,1,2,10104,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,1,10105,2009,1,1,1,1,1,2,1,1,1
4,5,10,6,7,7,9,6,2,2,1,10105,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,1,10106,2009,1,2,4,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,1,1,10107,2009,1,3,3,0,0,0,3,6,1
3,4,7,4,4,4,6,3,2,1,2,10107,2009,2,3,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,3,10107,2009,2,2,2,1,1,2,2,1,1
4,5,10,6,7,7,9,5,2,1,1,10108,2009,1,1,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,1,10109,2009,1,2,3,1,1,2,2,1,1
2,3,6,3,3,3,5,2,2,1,1,10110,2009,1,2,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,1,1,10111,2009,1,1,3,1,1,2,1,1,1
5,6,13,8,10,10,12,7,3,1,2,10111,2009,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,1,10112,2009,1,1,1,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,1,1,10113,2009,1,1,2,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,1,10114,2009,1,2,2,1,1,2,3,1,1
3,5,8,5,5,5,7,3,2,1,1,10115,2009,1,2,2,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,1,1,10116,2009,1,2,2,1,1,2,2,1,1
3,5,9,6,6,6,8,4,2,1,2,10116,2009,2,2,1,1,1,2,2,1,1
1,1,2,1,1,1,1,1,1,0,1,10117,2009,3,2,3,1,1,2,1,1,3
3,5,8,5,5,5,7,4,2,1,1,10117,2009,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,1,1,10118,2009,1,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,2,2,1,1,10119,2009,1,2,1,1,1,2,2,1,1
5,6,13,8,10,10,12,7,3,1,2,10119,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,1,1,10120,2009,1,2,2,1,1,2,2,1,1
4,5,10,6,7,7,9,6,2,1,1,10121,2009,1,2,2,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,1,10122,2009,1,1,3,1,1,2,1,1,1
1,1,4,1,1,1,3,1,1,1,1,10123,2009,1,2,1,1,2,3,1,1,1
3,5,9,6,6,6,8,5,2,1,1,10124,2009,1,2,1,1,2,3,2,1,1
3,5,9,6,6,6,8,5,2,1,2,10124,2009,2,1,3,1,2,3,2,1,1
2,2,5,2,2,2,4,1,2,1,1,10125,2009,1,1,1,1,1,2,1,1,1
4,5,10,6,7,7,9,5,2,1,1,10126,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,2,10126,2009,2,2,3,1,2,3,1,1,1
2,2,5,2,2,2,4,1,2,1,3,10126,2009,2,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,10127,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,2,10127,2009,2,2,3,1,1,2,2,1,1
3,5,9,6,6,6,8,5,2,2,1,10127,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,1,1,10128,2009,1,1,1,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,1,1,10129,2009,1,2,2,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,1,2,10129,2009,2,2,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,1,10130,2009,1,2,4,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,2,10130,2009,2,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,3,10130,2009,2,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,2,2,1,1,10131,2009,1,1,1,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,2,10131,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,3,10131,2009,2,1,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,2,1,10131,2009,1,1,1,0,0,0,1,6,1
