ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10531,0,0,0,0,0,0,0,0,0,0
10532,0,0,0,0,0,0,0,0,0,0
10533,0,0,0,0,0,0,0,0,0,0
10534,0,0,0,0,0,0,0,0,0,0
10535,9,9,18,14,9,9,9,9,9,9
10536,0,0,0,0,0,0,0,0,0,0
10537,0,0,0,0,0,0,0,0,0,0
10538,0,0,0,0,0,0,0,0,0,0
10539,0,0,61,0,0,0,0,0,0,0
10540,0,0,0,0,0,0,0,0,0,0
10541,0,0,0,0,0,0,23,0,0,0
10542,13,13,13,13,13,13,13,13,13,13
10543,0,0,0,0,0,0,0,0,0,0
10544,17,17,17,17,17,17,17,17,17,17
10545,4,0,0,0,0,0,0,0,0,0
10546,24,24,24,24,24,24,24,24,24,24
10547,27,28,12,9,25,3,10,5,29,16
10548,24,0,6,26,15,28,14,0,13,4
10549,0,0,0,0,0,0,0,0,0,0
10550,0,0,0,0,0,0,0,0,7,0
10551,0,0,0,0,0,0,0,0,0,0
10552,0,0,0,14,0,0,0,8,0,0
10553,0,0,0,0,0,0,0,0,0,0
10554,0,0,0,0,0,19,0,0,0,0
10555,4,4,4,4,4,4,4,4,4,4
10556,0,0,0,0,0,0,0,0,0,0
10557,0,0,0,0,0,0,0,0,0,0
10558,1,1,1,1,1,1,1,1,1,1
10559,20,30,32,0,5,7,0,14,8,22
10560,27,27,27,27,27,27,27,27,27,27
10561,0,0,0,0,0,0,0,0,0,0
10562,33,33,33,33,33,33,33,33,33,33
10563,0,0,0,0,0,0,0,0,0,0
10564,22,22,22,22,22,22,22,22,22,22
10565,0,0,0,0,0,0,0,0,0,0
10566,0,0,0,0,0,0,0,0,0,0
10567,14,14,14,14,14,14,14,14,14,14
10568,35,23,18,30,9,16,4,11,8,15
10569,19,19,19,19,19,19,19,19,19,19
10570,0,0,0,12,0,0,0,0,0,0
10571,0,0,0,0,0,0,0,0,0,0
10572,18,18,18,18,18,18,18,18,18,18
10573,0,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,0
10575,16,21,37,6,8,18,9,18,0,10
10576,0,7,0,0,0,0,0,10,0,2
10577,29,29,29,29,29,29,29,29,29,29
10578,0,0,0,0,0,0,0,0,0,0
10579,0,0,0,0,0,0,0,0,0,0
10580,0,0,0,0,0,0,0,0,0,0
10581,0,0,0,9,17,0,4,17,23,0
10582,0,0,0,0,0,0,0,0,0,0
10583,18,15,8,0,0,13,0,14,0,0
10584,13,13,13,13,13,13,13,13,13,13
10585,0,0,0,0,0,0,0,0,0,0
10586,0,0,0,0,0,0,0,0,0,0
10587,0,0,0,0,0,0,0,0,0,0
10588,3,3,3,3,3,3,3,3,3,3
10589,5,5,5,5,5,5,5,5,5,5
10590,0,0,0,0,0,0,0,0,0,0
10591,0,0,0,0,0,16,0,0,24,0
10592,12,12,12,12,12,12,12,12,12,12
10593,0,8,0,0,0,0,0,0,0,0
10594,0,0,13,0,0,0,0,0,0,0
10595,0,0,0,0,0,0,0,0,0,0
10596,0,0,0,0,18,0,0,0,0,0
10597,0,0,0,0,15,0,18,0,26,0
10598,5,5,5,5,5,5,5,5,5,5
10599,20,20,20,20,20,20,20,20,20,20
10600,0,0,0,0,0,0,0,0,0,0
