ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
481850,2,141,0,25,7,2016,2,11,45,1,I-10,,31.65759722,-106.238,1,1,0,1,0,0,0,1
481851,2,85,4230,8,7,2016,6,22,45,7,US-75 CENTRAL EXPWY,WHITE AVE,33.20975278,-96.6375,1,1,0,1,0,0,0,1
481852,1,255,0,14,7,2016,5,5,30,4,CR-208,,28.93281389,-97.9929,1,10,0,10,0,0,0,1
481853,2,201,0,15,7,2016,6,0,1,3,SR-249 TOMBALL PKWY,CR-SMILING WOOD LN,29.91590278,-95.4875,2,1,0,1,0,0,0,1
481854,2,215,0,21,7,2016,5,14,40,4,CR-MILE 14 RD,,26.41358333,-98.2955,1,1,0,1,0,0,0,1
481856,1,439,2990,21,7,2016,5,23,45,7,I-820,,32.84004444,-97.2858,1,1,0,1,0,0,0,1
481857,1,493,0,21,7,2016,5,4,25,2,US-181,,29.19638889,-98.2051,1,1,0,1,0,0,0,1
481859,2,497,0,24,7,2016,1,1,56,8,FM51,,33.17413056,-97.6222,1,1,0,1,0,0,0,2
481860,2,29,6090,28,7,2016,5,1,57,1,I-35,,29.40278611,-98.5118,1,10,0,10,0,0,0,1
481861,7,113,1730,4,3,2016,6,21,50,2,US-75 CENTRAL EXPY,,32.91703056,-96.76700000000001,1,1,0,1,0,0,0,1
481862,2,85,4230,13,6,2016,2,23,45,3,SR-5 MCDONALD ST,,33.24363056,-96.6093,1,1,0,1,0,0,0,2
481863,1,317,0,16,6,2016,5,10,1,3,SR-349,,32.24210556,-102.146,1,1,0,1,0,0,0,1
481864,3,113,1730,6,7,2016,4,13,25,6,HAMPTON RD,BARLOW AVE,32.71596111,-96.8569,3,1,0,1,0,0,0,1
481865,1,113,1730,9,7,2016,7,5,5,6,OVERTON RD,,32.70083056,-96.8197,1,1,0,1,0,0,0,1
481866,3,229,0,10,7,2016,1,21,45,1,I-10,,31.417075,-105.98700000000001,1,1,0,1,0,0,0,1
481867,2,299,0,14,7,2016,5,23,11,3,SR-71,,30.51654167,-98.3542,1,1,0,1,0,0,0,1
481868,1,489,0,15,7,2016,6,20,45,4,CR-BAY AVE,,26.504525,-97.6686,1,1,0,1,0,0,0,1
481869,2,355,1550,16,7,2016,7,1,7,1,I-37,,27.82757778,-97.5361,1,1,0,1,0,0,0,1
481870,2,53,4310,19,7,2016,3,5,15,2,US-281,,30.60260556,-98.2678,1,1,0,1,0,0,0,1
481871,5,113,1730,20,7,2016,4,19,15,1,I-20 LBJ FWY,,32.67051944,-96.9724,1,1,0,1,0,0,0,1
481872,1,113,1730,20,7,2016,4,20,15,8,SL12 BUCKNER BLVD,,32.76743333,-96.6826,1,1,0,1,0,0,0,1
481873,1,355,1550,20,7,2016,4,6,10,3,SR-358 PADRE ISLAND DR,,27.68641389,-97.3258,1,1,0,1,0,0,0,1
481874,2,453,330,20,7,2016,4,17,10,3,SR-130,,30.19990556,-97.6225,1,1,0,1,0,0,0,1
481875,1,201,0,21,7,2016,5,20,40,4,CR-FALLBROOK DR,,29.92049167,-95.4516,1,10,0,10,0,0,0,1
481876,4,39,0,22,7,2016,6,16,44,3,SR-35,,29.14357778,-95.5532,1,1,0,1,0,0,0,1
481877,1,157,0,22,7,2016,6,21,53,4,CR-BLASE RD,,29.48795,-95.8791,1,1,0,1,0,0,0,1
481878,2,209,6170,22,7,2016,6,2,43,1,I-35,,29.90395833,-97.9028,1,1,0,1,0,0,0,1
481879,2,113,4530,23,7,2016,7,1,42,1,I-635,,32.82478333,-96.6303,1,1,0,1,0,0,0,1
481880,1,439,0,23,7,2016,7,5,18,8,FM1886 CONFEDERATE PARK RD,CR-CATTLEBARON RD,32.82549444,-97.5436,1,1,0,1,0,0,0,1
481881,2,29,0,24,7,2016,1,4,56,8,FM 2790,,29.21723889,-98.6625,1,1,0,1,20,0,0,1
481882,2,245,490,24,7,2016,1,15,32,8,SP 380/ML KING PKWY,CALDER AVE,30.08563056,-94.1109,2,10,0,10,0,0,0,1
