COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,latitude,longitud
41,1,8,1,5,2,3,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,1,480131,0,2006,FM2154,99999999999999999999,30.45785556,-96.18589167
289,1,8,19,35,4,3,3,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,2,1,480132,0,2006,SR-75,99999999999999999999,31.42375556,-96.01811944
367,1,8,10,50,1,6,4,1,1,2,40,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480133,0,2006,OLDMINERALSWELLS,99999999999999999999,32.77491944,-97.85059722
145,1,9,3,0,1,6,4,1,1,2,60,1,1,4,1,0,0,0,1,0,0,0,0,1,2,480134,0,2006,139,99999999999999999999,31.38503333,-96.82367222
483,1,9,20,28,2,1,1,1,3,2,65,1,1,1,4,0,0,0,4,0,0,0,0,1,2,480135,0,2006,I-40,99999999999999999999,35.22684444,-100.4346639
507,1,10,19,13,14,3,8,1,1,2,40,2,1,2,1,0,0,0,1,0,0,0,0,3,3,480136,0,2006,FM1867,99999999999999999999,28.73624722,-99.565975
113,1,11,17,40,7,11,1,1,3,5,60,1,2,1,1,0,0,0,1,0,0,0,0,3,4,480137,3880,2006,I-35,99999999999999999999,32.64018333,-96.82310278
53,1,13,10,40,2,4,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,1,6,480138,0,2006,FM690,99999999999999999999,30.786475,-98.38758056
73,1,13,2,38,1,4,3,1,1,2,65,1,1,2,2,0,0,0,1,0,0,0,0,1,6,480139,0,2006,SR-110,99999999999999999999,32.0575,-95.10705278
187,1,13,2,0,1,4,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,6,480140,0,2006,FM78,99999999999999999999,29.57533056,-98.11761111
201,1,14,0,55,1,13,7,1,4,3,50,1,1,1,1,0,0,0,1,0,0,0,0,1,7,480141,3280,2006,LP8,99999999999999999999,29.628025,-95.17386111
299,1,14,21,35,4,3,3,1,1,2,65,1,2,2,1,0,0,0,1,0,0,0,0,1,7,480142,0,2006,SR-29,99999999999999999999,30.74573889,-98.88269444
201,1,15,23,10,1,11,7,3,4,3,35,1,1,1,1,0,0,0,1,0,0,0,0,1,1,480143,3280,2006,I-45,DALLAS,29.75778333,-95.37428611
27,1,16,17,9,4,3,3,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480144,0,2006,SR-317,99999999999999999999,31.27332222,-97.37336389
21,1,18,13,49,2,4,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,4,480145,0,2006,FM969,99999999999999999999,30.18008889,-97.42055556
309,1,16,19,35,2,2,3,1,1,2,65,1,3,2,1,0,0,0,1,0,0,0,0,1,2,480146,0,2006,SR-31,99999999999999999999,31.68035556,-96.96747778
361,1,18,11,37,4,13,3,1,3,1,45,1,1,2,1,0,0,0,1,1,3,0,0,1,4,480147,885,2006,SR-73,99999999999999999999,30.04104167,-93.82413611
1,1,19,14,15,1,3,3,1,1,2,70,1,2,2,1,0,0,0,1,0,0,0,0,1,5,480148,0,2006,SR-19,99999999999999999999,31.85664167,-95.71788333
187,1,19,9,25,2,6,4,1,1,2,40,1,3,2,1,0,0,0,1,0,0,0,0,1,5,480149,0,2006,SCHUMANNRD,99999999999999999999,29.5688,-98.06528333
1,1,20,20,9,1,3,2,1,1,2,65,2,3,2,2,0,0,0,1,0,0,0,0,1,6,480150,0,2006,US-84,99999999999999999999,31.74172222,-95.49938611
