COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,WEATHER,latitude,longitud
201,1,13,5,10,2,6,4,1,1,2,35,1,1,2,1,0,0,0,5,0,0,0,0,0,1,7,480092,0,2007,MARKET,99999999999999999999,5,29.79324167,-95.07360556
201,1,13,6,44,2,13,3,1,2,6,55,1,1,1,1,0,0,0,1,0,0,0,0,0,1,7,480093,3280,2007,SR-6,99999999999999999999,1,29.747375,-95.64450833
215,1,13,3,42,2,15,8,1,1,2,60,1,1,2,2,0,0,0,2,0,0,0,0,0,1,7,480094,0,2007,FM2812,99999999999999999999,2,26.38015833,-98.10538611
335,1,13,12,4,6,1,1,1,2,2,70,1,1,2,4,0,0,0,1,0,0,0,0,0,1,7,480095,0,2007,I-20,99999999999999999999,1,32.40470833,-100.7764333
401,1,13,0,50,1,5,8,1,1,2,55,1,1,2,2,0,0,0,1,0,0,0,0,0,1,7,480096,0,2007,FM2276,99999999999999999999,1,32.19592778,-94.830925
477,1,13,17,10,3,2,2,1,1,2,70,1,2,2,2,0,0,0,2,0,0,0,0,0,1,7,480097,0,2007,US-90,99999999999999999999,2,30.18031944,-96.47498056
201,1,15,18,0,2,16,5,1,5,6,45,1,1,1,1,0,0,2,1,0,0,0,0,0,1,2,480098,3280,2007,fondren,99999999999999999999,1,29.64081667,-95.50820556
395,1,15,14,19,8,2,2,1,1,4,70,1,1,2,2,0,0,0,2,0,0,0,0,0,1,2,480099,0,2007,US-190,99999999999999999999,2,30.84874444,-96.56086944
55,1,16,0,26,4,1,1,1,3,2,65,1,1,2,4,0,0,0,3,0,0,0,0,0,1,3,480100,0,2007,I-10,99999999999999999999,3,29.65074167,-97.60218333
209,1,16,7,35,8,1,1,1,3,3,70,1,1,2,4,0,0,0,1,0,0,0,0,0,2,3,480101,0,2007,I-35,99999999999999999999,1,30.07258611,-97.82737778
245,1,16,6,47,1,6,4,1,1,2,45,2,1,2,2,0,0,0,1,0,0,0,0,0,1,3,480102,0,2007,STEINHAGEN,99999999999999999999,1,29.95573611,-94.13654722
325,1,16,5,45,1,4,3,1,1,2,65,1,1,2,4,40,3,0,3,0,0,0,0,0,1,3,480103,0,2007,SR-173,99999999999999999999,3,29.21461389,-98.999125
401,1,16,18,50,2,14,3,1,1,4,60,2,2,2,1,0,0,0,1,0,0,0,0,0,1,3,480104,0,2007,SR-42,99999999999999999999,1,32.35815,-94.89785833
297,1,17,0,9,3,1,1,1,2,2,65,1,1,2,4,0,0,0,2,0,0,0,0,0,1,4,480105,0,2007,I-37,99999999999999999999,2,28.48734722,-98.13996389
439,1,17,19,40,6,12,3,1,3,2,55,1,1,1,4,0,0,0,1,0,0,0,0,0,1,4,480106,2800,2007,SR-360,99999999999999999999,1,32.76444444,-97.06324167
215,1,18,20,1,2,4,8,8,5,4,60,1,1,2,2,0,0,0,2,0,0,0,0,0,1,5,480107,0,2007,FM907,99999999999999999999,2,26.09559167,-98.13835278
245,1,18,19,36,1,12,3,1,3,2,70,1,1,2,2,0,0,0,2,0,0,0,0,0,1,5,480108,5470,2007,SR-73,99999999999999999999,2,29.91159444,-93.96180278
439,1,18,21,42,4,12,3,2,1,4,40,1,1,2,2,3,3,0,2,0,0,0,0,0,2,5,480109,2850,2007,SR-121,MUSTANG,2,32.92086667,-97.09031111
467,1,18,6,43,6,11,1,1,2,2,65,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5,480110,1140,2007,I-20,99999999999999999999,1,32.59915833,-95.91905278
261,1,19,6,35,2,2,2,1,2,2,70,1,2,1,2,0,0,0,2,0,0,0,0,0,1,6,480111,0,2007,US-77,99999999999999999999,2,27.06235,-97.79323056
359,1,19,23,27,3,1,1,1,2,2,65,1,1,1,3,0,0,0,4,0,0,0,0,0,2,6,480112,0,2007,I-40,99999999999999999999,4,35.26228333,-102.5234444
439,1,19,23,40,1,12,3,1,3,4,99,2,1,2,2,0,0,0,2,0,0,0,0,0,1,6,480113,2450,2007,SR-121,99999999999999999999,2,32.76772222,-97.30472778
481,1,19,21,0,2,4,8,1,1,2,60,1,1,2,2,0,0,1,2,0,0,0,0,0,1,6,480114,0,2007,FM1301,99999999999999999999,2,29.30853889,-96.00876667
141,1,20,4,7,5,11,7,2,4,2,45,1,2,2,2,3,3,5,2,0,0,0,0,0,2,7,480115,9997,2007,I-10,FM1281,2,31.6593,-106.24059170000001
329,1,20,8,44,2,16,5,1,1,4,35,1,1,2,2,0,0,0,1,0,0,0,0,0,1,7,480116,4560,2007,MIDLAND,99999999999999999999,1,31.99336389,-102.1341944
85,1,21,19,54,1,3,3,1,2,9,55,2,2,2,1,40,3,0,1,0,0,0,0,0,1,1,480117,4445,2007,SR-121,99999999999999999999,1,33.26343056,-96.602975
121,1,21,15,4,1,14,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480118,1840,2007,FM1830,99999999999999999999,1,33.14863333,-97.14198333
201,1,21,9,43,1,12,3,1,3,3,65,2,2,2,2,0,0,0,1,0,0,0,0,0,1,1,480119,5230,2007,SR-225,99999999999999999999,1,29.70781111,-95.22720556
229,1,21,7,0,2,1,1,1,2,2,70,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,480120,0,2007,I-10,99999999999999999999,1,,
457,1,21,1,15,1,4,8,1,1,2,55,2,2,2,2,0,0,0,2,0,0,0,0,0,1,1,480121,0,2007,FM1013,99999999999999999999,2,30.67600833,-94.35045278
493,1,21,16,8,6,4,8,2,1,2,45,1,1,2,1,20,3,0,1,0,0,0,0,0,1,1,480122,0,2007,FM3432,FM775,1,29.30276389,-98.17136667
215,1,22,22,49,1,16,5,1,1,2,45,1,1,2,2,0,0,0,2,0,0,0,0,0,1,2,480123,5330,2007,I,99999999999999999999,2,26.12049722,-98.17976944
229,1,22,18,0,6,16,5,1,1,2,30,1,1,5,2,0,0,0,4,0,0,0,0,0,1,2,480124,2435,2007,5,99999999999999999999,4,,
395,1,22,6,30,2,4,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,0,2,2,480125,0,2007,FM46,99999999999999999999,1,30.96322222,-96.42713056
453,1,22,18,20,2,11,7,1,4,2,55,1,1,2,1,0,0,0,1,0,4,0,0,0,1,2,480126,0,2007,I-35,99999999999999999999,1,30.44694722,-97.66758333
201,1,23,22,57,2,6,5,1,2,2,35,1,1,1,2,0,0,0,2,0,0,0,0,0,1,3,480127,3280,2007,AIRLINE,99999999999999999999,2,29.82333611,-95.38358611
39,1,24,10,50,2,3,3,1,1,2,45,1,1,2,2,0,0,0,2,0,0,0,0,0,1,4,480128,0,2007,SR-332,99999999999999999999,2,29.05161111,-95.55905278
113,1,24,19,5,2,16,5,1,2,3,35,1,2,2,1,0,0,0,1,0,0,0,0,0,1,4,480129,1730,2007,MARSALIS,99999999999999999999,1,32.71603889,-96.81459722
143,1,24,13,5,1,5,8,1,1,2,60,2,1,2,1,40,3,0,1,0,0,0,0,0,1,4,480130,0,2007,FM847,99999999999999999999,1,32.14601667,-98.21850833
149,1,24,18,42,3,3,3,1,2,2,65,2,1,2,1,0,0,0,1,0,0,0,0,0,2,4,480131,0,2007,SR-71,99999999999999999999,1,29.92906667,-96.97526944
189,1,24,22,21,1,11,7,1,4,9,55,1,1,2,4,0,0,0,1,0,0,0,0,0,1,4,480132,5380,2007,I-27,99999999999999999999,1,34.196875,-101.7490667
201,1,24,21,50,1,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480133,3280,2007,MCALLISTER,99999999999999999999,1,29.80746944,-95.46352778
361,1,24,5,23,2,13,3,2,2,3,40,1,1,1,2,20,3,0,2,0,0,0,0,0,1,4,480134,5100,2007,SR-87,28TH,2,30.09493056,-93.76221389
427,1,24,15,40,5,13,2,1,2,2,55,1,1,2,2,0,0,0,2,0,0,0,0,0,1,4,480135,0,2007,US-83,99999999999999999999,2,26.37088889,-98.79841389
