st_case,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10360,0,0,0,0,0,0,0,0,0,0,2001
10361,0,0,0,0,0,0,0,0,0,20,2001
10362,0,0,0,0,0,0,0,0,0,0,2001
10363,10,12,32,17,15,20,22,43,24,38,2001
10364,0,0,0,6,0,0,0,0,0,0,2001
10365,0,14,21,28,16,3,28,11,17,0,2001
10366,10,15,0,22,0,0,22,20,25,18,2001
10367,0,0,0,0,0,0,0,0,0,0,2001
10368,0,0,0,0,0,0,0,0,0,0,2001
10369,0,25,26,0,13,9,12,14,18,0,2001
10370,0,0,0,0,8,0,0,0,0,0,2001
10371,17,17,17,17,17,17,17,17,17,17,2001
10372,0,0,0,0,0,0,0,0,0,0,2001
10373,0,0,0,0,0,0,0,0,0,0,2001
10374,22,13,0,0,0,0,13,0,16,0,2001
10375,11,5,15,14,17,31,25,20,27,12,2001
10376,0,0,0,0,5,0,0,0,0,0,2001
10377,0,0,0,0,0,0,0,0,0,0,2001
10378,0,0,0,0,0,0,0,0,0,0,2001
10379,5,5,5,5,5,5,5,5,5,5,2001
10380,0,0,0,0,0,0,0,0,0,0,2001
10381,0,0,0,0,0,0,0,0,0,0,2001
10382,19,19,19,19,19,19,19,19,19,19,2001
10383,22,0,0,0,0,0,0,0,0,0,2001
10384,0,0,0,0,0,0,0,0,0,0,2001
10385,0,6,7,0,0,0,19,33,10,5,2001
10386,0,22,25,18,24,10,26,17,0,13,2001
10387,0,0,0,0,0,0,0,0,0,0,2001
10388,0,0,0,13,1,0,6,0,5,0,2001
10389,36,24,37,14,12,6,33,22,10,23,2001
10390,7,5,5,8,5,13,16,12,7,15,2001
10391,0,7,18,0,0,0,0,0,0,0,2001
10392,0,0,0,0,0,0,0,0,0,0,2001
10393,0,0,0,0,0,0,0,0,0,0,2001
10394,29,22,0,30,17,18,10,13,7,24,2001
10395,14,0,7,6,25,15,12,9,18,9,2001
10396,22,22,22,22,22,22,22,22,22,22,2001
10397,0,0,0,0,0,0,14,0,0,0,2001
10398,0,0,9,29,0,36,18,18,21,6,2001
10399,0,0,0,0,0,0,0,0,0,0,2001
10400,0,0,0,0,0,0,0,0,0,0,2001
10401,24,24,24,24,24,24,24,24,24,24,2001
10402,0,0,0,0,0,0,0,0,0,0,2001
10403,9,18,0,15,10,12,8,17,13,13,2001
10404,0,0,0,0,0,0,0,0,0,0,2001
10405,0,0,0,0,0,0,0,0,0,0,2001
10406,0,0,0,0,5,0,0,0,0,0,2001
10407,22,29,10,6,15,11,7,31,12,23,2001
10408,0,0,5,0,0,0,0,0,0,0,2001
10409,21,33,37,16,13,0,10,19,15,33,2001
10410,0,0,0,0,0,0,0,0,0,0,2001
10411,0,0,0,0,0,0,0,0,0,0,2001
10412,0,0,0,0,0,0,5,0,0,0,2001
10413,10,13,33,0,14,17,18,35,10,28,2001
10414,21,17,22,25,16,24,28,12,35,10,2001
10415,22,12,0,0,0,20,0,0,0,20,2001
10417,0,0,13,0,8,0,0,0,0,0,2001
10418,0,0,10,0,0,0,31,0,0,0,2001
10419,29,0,0,33,11,12,10,0,16,0,2001
10420,0,0,10,0,20,0,34,23,25,23,2001
10421,21,22,29,16,18,13,0,30,0,21,2001
