ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10202,1,1,1999,22,23,10,13,16,7,7,19,36,4
10203,0,1,1999,17,0,27,13,34,0,13,14,17,22
10203,1,1,1999,10,8,18,9,20,30,4,14,11,23
10204,1,1,1999,24,28,8,22,30,25,12,28,17,36
10205,1,1,1999,22,22,22,22,22,22,22,22,22,22
10206,1,1,1999,0,0,0,0,0,0,0,0,0,0
10206,2,1,1999,0,0,0,0,0,0,0,0,0,0
10207,1,1,1999,0,0,0,0,0,0,0,0,0,0
10207,2,1,1999,0,0,0,0,0,0,0,0,0,0
10208,1,1,1999,23,13,23,25,21,14,14,13,20,25
10208,2,1,1999,0,0,0,0,0,0,0,0,0,0
10208,3,1,1999,0,0,0,0,0,0,0,0,0,0
10209,1,1,1999,0,17,0,0,0,0,0,0,22,14
10210,1,1,1999,11,11,11,11,11,11,11,11,11,11
10210,2,1,1999,30,0,3,0,5,0,0,0,0,3
10211,1,1,1999,28,24,7,17,20,10,24,13,8,16
10212,1,1,1999,0,0,0,0,0,0,0,0,0,0
10213,0,1,1999,0,27,20,45,25,14,0,23,26,17
10213,1,1,1999,0,0,0,0,3,0,0,0,0,0
10214,1,1,1999,0,0,0,0,0,0,0,0,0,0
10214,2,1,1999,0,0,0,0,0,0,0,0,0,0
10215,1,1,1999,0,0,21,0,0,0,0,0,0,0
10216,1,1,1999,0,0,0,0,0,23,0,0,0,21
10216,2,1,1999,0,0,0,0,0,0,0,0,0,0
10217,0,1,1999,30,21,30,0,0,7,30,24,0,15
10217,0,2,1999,31,42,24,12,0,24,29,8,9,13
10217,0,3,1999,0,28,30,36,19,22,12,27,17,25
10217,1,1,1999,8,4,20,8,0,15,8,15,15,4
10218,1,1,1999,18,0,0,23,0,0,19,0,0,0
10218,2,1,1999,0,0,0,0,0,0,0,0,0,0
10219,1,1,1999,0,12,0,0,0,0,24,0,0,0
10219,2,1,1999,0,0,0,0,0,0,0,0,0,0
10219,3,1,1999,0,0,0,0,0,0,0,0,0,0
10220,1,1,1999,21,8,20,24,15,18,18,11,9,9
10221,1,1,1999,0,0,0,0,0,18,0,0,0,0
10222,1,1,1999,10,18,17,21,13,24,19,34,16,27
10223,1,1,1999,0,0,0,0,0,0,0,0,0,0
10223,2,1,1999,0,0,0,0,0,0,0,0,0,15
10224,1,1,1999,4,9,12,11,9,0,26,18,11,17
10225,1,1,1999,0,0,0,0,0,0,0,0,0,0
10225,2,1,1999,0,0,0,0,0,0,0,0,0,0
10226,1,1,1999,0,0,0,0,0,0,0,0,0,0
10226,2,1,1999,0,0,0,0,0,0,0,0,0,0
10227,1,1,1999,0,0,0,0,0,0,0,0,0,0
10227,2,1,1999,0,22,0,0,0,0,0,0,16,0
10228,1,1,1999,0,0,0,0,0,0,0,0,0,0
10228,2,1,1999,0,0,0,0,0,0,0,0,0,0
10228,3,1,1999,0,0,0,0,0,0,0,0,0,0
10229,1,1,1999,8,13,17,10,12,18,6,5,15,21
10230,1,1,1999,0,0,38,0,0,0,27,0,5,0
10231,1,1,1999,0,0,0,0,0,0,0,0,0,0
10231,2,1,1999,23,22,0,13,0,0,0,0,0,0
10232,1,1,1999,0,0,0,0,0,0,0,0,0,0
10233,1,1,1999,0,0,0,0,0,0,0,0,0,0
10233,2,1,1999,0,0,0,0,0,27,0,0,0,0
10234,1,1,1999,24,0,0,27,23,23,0,23,0,14
10235,1,1,1999,0,0,0,0,0,0,0,0,0,0
10235,2,1,1999,0,0,0,0,0,0,0,0,0,0
10236,1,1,1999,34,22,10,0,0,0,10,3,17,0
10237,1,1,1999,0,0,13,0,0,0,0,0,0,0
10238,1,1,1999,0,0,0,0,0,0,0,0,0,0
10238,2,1,1999,0,0,0,0,0,0,0,0,0,0
10239,1,1,1999,0,0,0,0,0,0,0,0,0,0
10239,2,1,1999,0,0,0,0,0,0,0,0,0,0
10240,1,1,1999,0,0,0,0,0,0,0,0,0,0
10240,2,1,1999,0,0,0,0,0,0,0,0,0,0
10241,0,1,1999,0,0,0,0,0,0,16,0,0,0
10241,1,1,1999,13,13,13,13,13,13,13,13,13,13
10242,1,1,1999,0,0,0,0,0,0,0,0,0,0
10243,1,1,1999,7,7,22,20,5,7,3,20,20,17
10244,1,1,1999,0,0,0,0,0,0,3,0,0,0
10244,2,1,1999,0,0,0,0,0,0,0,0,0,0
10245,1,1,1999,0,0,0,0,0,0,0,0,0,0
10245,2,1,1999,0,0,0,0,0,0,0,0,0,0
10245,3,1,1999,0,0,0,0,0,0,0,0,0,0
10245,4,1,1999,0,0,0,0,0,0,0,0,0,0
10245,5,1,1999,0,0,0,0,0,0,0,0,0,0
10246,1,1,1999,0,0,0,0,0,0,0,0,0,0
10247,1,1,1999,20,22,23,14,50,28,12,23,8,0
10248,1,1,1999,6,0,0,0,0,3,0,26,0,30
10249,1,1,1999,0,0,0,35,0,0,0,0,0,0
10250,1,1,1999,13,15,17,7,31,9,2,14,22,11
10251,1,1,1999,0,0,19,0,0,17,21,19,0,0
10251,2,1,1999,0,0,0,0,0,0,0,0,16,0
10251,3,1,1999,0,0,0,0,0,0,0,0,0,0
10252,1,1,1999,0,0,0,0,0,0,0,0,0,0
10253,1,1,1999,0,0,0,0,0,0,0,0,0,0
10254,1,1,1999,29,14,9,28,11,13,26,13,20,11
10255,1,1,1999,19,23,5,6,23,0,27,0,0,8
10255,2,1,1999,0,0,0,0,0,0,0,0,0,0
10256,1,1,1999,31,23,13,18,7,24,21,27,24,20
10257,1,1,1999,0,0,0,0,0,0,0,0,0,0
10257,2,1,1999,0,0,0,0,0,0,0,0,0,0
10258,1,1,1999,15,19,13,14,11,11,8,15,9,20
10259,1,1,1999,0,24,20,25,0,0,14,0,12,21
10260,1,1,1999,0,0,0,0,0,0,0,0,0,0
10260,2,1,1999,0,0,0,0,0,0,0,0,0,0
10261,1,1,1999,18,17,31,7,8,23,17,19,17,22
10262,1,1,1999,0,0,0,0,0,0,0,0,0,0
10263,1,1,1999,0,0,0,0,0,0,0,0,0,0
10263,2,1,1999,0,0,0,0,0,0,0,0,0,0
10264,1,1,1999,0,0,0,0,0,0,0,0,0,0
10264,2,1,1999,0,0,0,0,0,0,0,0,0,0
10265,1,1,1999,17,17,17,17,17,17,17,17,17,17
