YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2003,2,10160,3,2,2,2,1,1,2,4,1,3,1997,2,2
2003,1,10161,2,2,2,2,1,1,2,4,2,3,1993,2,2
2003,2,10161,2,2,2,1,1,1,1,4,2,3,1998,2,2
2003,1,10162,1,2,5,2,1,1,2,4,1,3,1999,2,1
2003,1,10163,1,3,3,2,1,1,2,4,1,3,1997,2,2
2003,1,10164,2,2,2,2,1,1,2,4,2,3,1994,2,1
2003,1,10165,1,2,2,2,1,1,2,4,1,3,1988,2,2
2003,1,10166,1,2,2,2,2,2,2,4,1,3,1993,2,2
2003,1,10167,1,5,5,2,1,1,2,4,1,3,1999,2,2
2003,1,10168,6,2,2,1,1,1,1,4,1,3,2003,2,2
2003,2,10168,1,5,5,2,1,1,2,4,2,3,1996,2,2
2003,1,10169,1,5,5,2,1,1,2,4,2,3,1999,2,2
2003,2,10169,3,2,2,2,1,1,2,4,2,3,1994,2,2
2003,1,10170,1,5,5,2,1,1,2,4,2,3,1996,2,2
2003,2,10170,2,2,2,2,1,1,2,4,2,3,1988,2,2
2003,1,10171,1,3,3,2,1,1,2,4,1,3,2001,2,2
2003,2,10171,1,2,2,2,1,1,1,4,2,3,1998,2,2
2003,1,10172,7,2,2,2,4,2,2,2,2,3,2001,2,2
2003,1,10173,1,2,2,2,1,1,2,4,1,3,1995,2,2
2003,2,10173,1,4,4,2,1,1,2,4,2,3,1997,2,2
2003,3,10173,4,2,2,2,1,1,2,4,2,3,1998,2,2
2003,1,10174,3,2,2,1,1,1,2,4,1,3,1999,2,1
2003,2,10174,1,5,5,2,1,1,2,4,2,3,2002,2,2
2003,1,10175,2,2,2,2,2,2,2,4,2,3,1999,2,2
2003,1,10176,1,2,2,2,2,2,2,4,1,3,1993,2,2
2003,1,10177,1,2,2,2,2,2,2,4,1,3,1992,2,2
2003,1,10178,1,2,2,2,1,1,2,4,1,3,1998,2,1
2003,1,10179,4,2,2,1,2,2,2,4,1,3,1990,2,2
2003,1,10180,1,2,2,2,2,2,2,4,2,3,1986,2,2
2003,2,10180,2,2,2,2,1,1,2,4,2,3,1989,2,2
2003,1,10181,1,2,2,1,1,1,2,4,1,3,1987,2,2
2003,1,10182,1,7,7,1,1,1,2,4,1,3,1996,2,2
2003,1,10183,2,2,2,1,2,2,2,4,1,3,1984,2,2
2003,1,10184,3,2,2,2,1,1,1,4,1,3,1992,2,2
