ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10392,2000,15,15,15,15,15,15,15,15,15,15
10393,2000,11,34,0,12,8,27,14,23,25,39
10394,2000,0,0,0,0,0,0,0,0,0,0
10395,2000,0,0,0,0,0,0,0,0,0,0
10396,2000,0,0,0,0,0,0,0,0,0,0
10397,2000,0,0,0,0,0,0,0,25,0,0
10398,2000,0,0,0,0,0,0,0,0,0,0
10399,2000,6,8,13,12,0,7,36,11,20,11
10400,2000,0,0,0,0,0,0,0,0,0,18
10401,2000,0,0,0,0,0,0,0,0,0,0
10402,2000,0,0,0,0,0,0,0,0,0,0
10403,2000,0,0,0,0,0,0,0,0,0,0
10404,2000,0,0,0,14,0,0,9,22,36,24
10405,2000,0,0,0,0,0,0,0,0,0,0
10406,2000,0,0,0,0,0,0,0,0,0,0
10407,2000,0,0,0,0,0,0,0,0,0,0
10408,2000,0,0,0,0,0,0,0,0,0,0
10409,2000,0,0,0,0,0,0,0,0,0,0
10410,2000,16,16,16,16,16,16,16,16,16,16
10411,2000,13,13,13,13,13,13,13,13,13,13
10412,2000,13,19,0,13,6,9,19,7,30,23
10413,2000,0,0,0,0,0,0,0,10,0,0
10414,2000,13,35,0,0,0,0,13,7,0,0
10415,2000,0,0,0,0,0,0,0,25,20,14
10416,2000,0,0,0,0,0,19,0,0,0,0
10417,2000,0,0,0,0,0,0,0,0,0,0
10418,2000,31,31,31,31,31,31,31,31,31,31
10419,2000,10,0,0,0,0,12,0,0,0,17
10420,2000,0,0,0,0,0,0,0,0,0,0
10421,2000,0,0,0,0,0,0,0,0,0,0
10422,2000,0,0,0,0,0,0,0,0,0,0
10423,2000,0,0,0,0,0,0,0,0,0,0
10424,2000,0,0,0,0,0,0,10,0,0,0
10425,2000,0,0,0,0,0,0,0,0,0,0
10426,2000,7,8,18,14,11,0,0,15,0,0
10427,2000,0,0,0,0,0,0,0,0,0,0
10428,2000,24,24,24,24,24,24,24,24,24,24
10429,2000,0,0,0,0,0,0,0,0,0,0
10430,2000,3,0,0,0,0,0,0,0,0,0
10431,2000,18,18,18,18,18,18,18,18,18,18
10432,2000,14,0,8,25,12,8,0,0,20,15
10433,2000,13,13,13,13,13,13,13,13,13,13
10434,2000,29,29,29,29,29,29,29,29,29,29
10435,2000,0,0,0,0,0,0,0,0,0,0
10436,2000,19,19,19,19,19,19,19,19,19,19
10437,2000,0,0,0,0,0,0,0,0,0,0
10438,2000,0,0,0,0,0,0,0,0,0,0
10439,2000,0,0,0,0,0,0,0,0,0,0
10440,2000,9,9,9,9,9,9,9,9,9,9
10441,2000,3,3,3,3,3,3,3,3,3,3
10442,2000,9,0,31,17,0,9,0,22,0,27
10443,2000,6,6,6,6,6,6,6,6,6,6
10444,2000,0,0,0,0,0,0,0,0,0,0
10445,2000,0,0,0,0,0,0,0,0,0,0
10446,2000,23,23,23,23,23,23,23,23,23,23
10447,2000,16,16,16,16,16,16,16,16,16,16
10448,2000,0,19,0,0,0,0,0,0,0,0
10449,2000,9,9,9,9,9,9,9,9,9,9
10450,2000,0,0,0,0,0,0,0,0,0,0
10451,2000,0,0,0,0,0,0,0,0,0,0
10452,2000,0,0,0,0,15,0,30,0,0,0
10453,2000,0,0,0,0,0,0,0,0,0,0
10454,2000,12,12,12,12,12,12,12,12,12,12
10455,2000,0,8,10,10,11,19,14,0,19,7
10456,2000,17,17,17,17,17,17,17,17,17,17
10457,2000,0,0,0,0,0,0,0,0,0,0
10458,2000,0,0,16,7,0,0,0,9,0,10
10459,2000,0,0,0,0,0,0,0,0,0,0
10460,2000,18,18,18,18,18,18,18,18,18,18
10461,2000,0,0,0,9,0,0,0,0,12,0
10462,2000,0,0,0,0,0,0,0,0,0,0
10463,2000,0,0,0,0,0,0,0,0,14,0
10464,2000,8,0,0,0,0,0,0,0,0,0
10465,2000,0,0,0,0,0,0,0,0,0,0
10466,2000,13,10,7,9,7,20,0,14,0,14
10467,2000,16,0,9,14,20,11,20,13,13,17
10468,2000,0,0,0,0,0,0,0,0,0,0
10469,2000,0,0,0,0,0,0,0,0,0,0
10470,2000,20,12,16,12,9,12,17,16,7,22
10471,2000,17,17,17,17,17,17,17,17,17,17
10472,2000,0,11,17,23,12,40,13,13,0,12
10473,2000,15,15,15,15,15,15,15,15,15,15
10474,2000,0,0,0,0,0,0,0,0,0,0
10475,2000,23,17,0,10,13,0,52,0,0,0
10476,2000,20,14,24,0,18,8,0,22,0,0
10477,2000,33,25,0,22,28,18,18,45,0,25
10478,2000,0,0,0,0,0,0,0,0,0,0
10479,2000,0,0,0,0,0,0,0,0,0,0
10480,2000,0,0,0,0,0,0,0,0,0,0
10481,2000,0,0,8,0,0,0,0,0,0,0
10482,2000,0,0,0,0,0,0,0,0,0,0
10483,2000,18,18,18,18,18,18,18,18,18,18
10484,2000,0,0,0,0,0,0,0,0,0,0
10485,2000,23,23,23,23,23,23,23,23,23,23
10486,2000,0,0,0,0,0,0,0,0,0,0
10487,2000,17,15,19,21,15,0,0,9,9,15
10488,2000,0,0,0,0,0,0,0,0,0,0
10489,2000,0,0,0,0,0,0,0,0,0,0
10490,2000,0,0,0,0,0,0,0,0,0,0
10491,2000,0,0,0,0,0,0,0,0,0,0
10492,2000,0,0,0,0,0,0,0,0,0,0
10493,2000,0,0,0,0,0,0,0,0,0,0
10494,2000,0,0,0,0,0,0,0,0,0,0
10495,2000,12,12,12,12,12,12,12,12,12,12
10496,2000,0,0,0,0,0,0,0,0,0,0
10497,2000,0,10,14,0,16,0,0,23,29,0
10498,2000,8,0,0,0,0,11,13,0,24,0
10499,2000,0,0,0,0,0,0,0,0,0,0
10500,2000,22,22,22,22,22,22,22,22,22,22
10501,2000,0,0,0,0,0,0,0,0,0,0
10502,2000,0,0,0,0,0,0,0,0,0,0
10503,2000,36,14,35,15,27,22,18,23,25,22
10504,2000,15,8,14,11,17,26,19,9,13,22
10505,2000,0,0,0,0,0,0,0,4,0,0
10506,2000,0,0,0,0,0,0,0,0,0,0
10507,2000,0,0,0,0,0,0,0,0,0,0
10508,2000,0,0,0,0,0,0,0,0,0,0
10509,2000,30,30,30,30,30,30,30,30,30,30
10510,2000,18,18,18,18,18,18,18,18,18,18
10511,2000,25,25,25,25,25,25,25,25,25,25
10512,2000,0,0,0,0,0,0,0,0,0,0
10513,2000,8,8,8,8,8,8,8,8,8,8
10514,2000,6,12,11,6,13,15,34,52,16,20
10515,2000,0,0,0,0,0,0,0,0,0,0
10516,2000,15,0,0,19,0,0,4,19,25,20
10517,2000,28,24,32,19,31,15,28,29,28,26
10518,2000,0,0,0,0,0,0,0,0,0,0
10519,2000,0,0,0,0,0,0,0,0,0,0
10520,2000,0,13,0,0,0,0,0,0,0,0
10521,2000,0,0,0,0,0,0,0,0,0,0
10522,2000,0,0,0,0,0,0,0,0,0,0
10523,2000,28,28,28,28,28,28,28,28,28,28
10524,2000,4,12,15,0,0,0,11,14,0,17
10525,2000,40,40,40,40,40,40,40,40,40,40
10526,2000,16,16,16,16,16,16,16,16,16,16
10527,2000,10,23,0,8,31,0,28,24,27,48
10528,2000,0,0,0,0,0,0,0,0,0,0
10529,2000,37,14,29,13,9,22,23,30,30,8
10530,2000,8,8,8,8,8,8,8,8,18,8
10531,2000,24,24,24,24,24,24,24,24,24,24
10532,2000,20,20,20,20,20,20,20,20,20,20
