ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
481881,2,1,16,8,19,30,80,0,4,48,1,0,1,2,60,21,1,0,2014
481906,1,1,21,8,11,48,80,998,8,48,0,0,0,3,45,69,1,0,2014
481907,2,1,21,8,22,0,80,998,6,48,0,0,3,3,35,69,1,0,2014
481910,1,1,22,8,21,55,80,998,8,48,0,0,0,2,45,98,1,0,2014
481913,3,1,23,8,11,24,80,998,8,48,0,0,0,2,98,98,1,0,2014
481915,1,1,24,8,19,37,80,998,6,48,0,0,0,2,70,6,1,0,2014
481916,1,1,24,8,20,45,80,998,8,48,1,0,0,5,45,24,1,1,2014
481916,2,2,24,8,20,45,80,998,8,48,0,0,0,5,45,27,0,0,2014
481917,2,1,24,8,0,30,80,998,8,48,2,0,1,4,60,25,1,0,2014
481919,2,2,24,8,7,59,80,998,4,48,0,0,0,3,45,69,2,0,2014
481920,1,1,24,8,0,41,80,998,8,48,0,0,0,2,60,24,1,0,2014
481921,1,2,24,8,2,13,80,998,8,48,0,0,1,2,60,1,2,0,2014
481935,2,1,3,8,19,55,80,998,8,48,0,0,0,2,55,69,1,0,2014
481939,1,2,9,8,22,22,80,998,8,48,0,0,0,2,30,2,1,1,2014
481951,1,2,23,8,15,40,80,998,8,48,0,0,0,2,65,7,1,0,2014
481954,1,1,25,8,18,22,80,998,8,48,0,0,0,2,60,1,1,1,2014
481956,1,1,26,8,17,0,80,998,4,48,0,0,0,2,35,98,1,1,2014
481961,1,2,28,8,20,50,80,998,4,12,0,0,1,2,75,72,1,0,2014
481972,1,1,31,8,11,16,80,998,8,48,0,0,0,2,75,1,1,0,2014
481974,1,1,31,8,1,50,80,998,8,48,0,0,0,2,35,69,1,1,2014
481979,1,1,10,8,0,34,80,998,8,48,0,0,0,4,70,1,1,1,2014
481982,1,1,15,8,3,56,80,100,4,48,0,0,2,4,35,88,1,0,2014
481983,1,1,20,8,16,55,80,998,8,48,0,0,0,2,65,45,1,0,2014
482003,1,2,28,6,0,47,80,998,8,48,0,0,1,2,55,1,1,1,2014
482011,1,1,29,8,23,28,80,998,8,48,0,0,0,2,65,20,1,0,2014
482014,1,2,1,9,0,23,80,998,8,48,0,0,0,2,75,98,1,0,2014
482016,1,2,1,9,8,20,80,998,8,48,0,0,1,2,60,1,1,0,2014
482029,2,1,3,9,17,24,80,998,8,48,0,0,1,2,75,65,1,0,2014
482057,2,1,5,9,9,34,80,998,8,48,0,0,0,3,75,69,1,0,2014
482064,1,1,6,9,19,20,80,998,8,48,0,0,0,2,70,6,1,0,2014
482071,1,1,7,9,17,59,80,998,8,48,0,0,1,2,40,13,1,0,2014
482074,1,1,7,9,14,4,80,998,4,48,0,0,0,4,65,1,1,1,2014
482075,2,1,7,9,21,38,80,998,6,48,0,0,0,4,40,65,1,1,2014
482087,1,1,10,9,2,50,80,998,4,48,0,0,0,4,35,1,1,0,2014
482110,1,1,13,9,22,30,80,998,8,48,0,0,0,2,55,50,1,1,2014
482114,2,1,13,9,8,21,80,998,8,48,0,0,0,4,65,25,0,0,2014
482114,3,1,13,9,8,21,80,998,8,48,0,0,0,4,65,98,1,0,2014
482114,4,2,13,9,8,21,80,998,8,48,0,0,0,4,65,24,0,0,2014
482117,1,1,9,8,4,15,80,998,8,48,0,0,0,2,75,13,1,0,2014
482123,1,1,14,9,20,0,80,998,8,48,0,0,1,2,70,13,1,0,2014
482142,2,2,22,2,19,41,80,998,8,48,0,0,0,4,45,88,1,1,2014
482146,1,1,30,5,18,3,80,998,4,48,0,0,0,2,99,88,1,1,2014
482165,2,1,20,9,9,30,80,998,2,48,0,0,0,4,55,25,0,0,2014
482165,3,1,20,9,9,30,80,998,8,48,0,0,0,4,55,24,1,0,2014
482166,2,1,20,9,20,28,80,998,8,48,0,0,0,5,40,98,1,0,2014
482167,1,1,20,9,11,41,80,998,8,48,0,0,1,2,60,1,1,1,2014
