VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,98,9,1,482332,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,4,1,482335,1,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,2,1,482341,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,6,1,482348,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,9,1,482364,1,48.0,2.0,0.0,0.0,10,2003
1,1,80,98,6,1,482370,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,2,1,482397,1,48.0,0.0,0.0,1.0,10,2003
1,1,80,98,2,1,482398,1,48.0,0.0,0.0,1.0,10,2003
1,2,80,98,4,1,482401,0,48.0,0.0,0.0,0.0,10,2003
1,2,80,98,2,1,482407,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,70,6,1,482423,1,48.0,1.0,0.0,0.0,10,2003
1,2,80,98,9,1,482426,1,48.0,0.0,0.0,1.0,10,2003
1,1,80,98,2,1,482442,1,48.0,0.0,0.0,0.0,10,2003
2,1,80,98,4,1,482457,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,9,1,482498,0,48.0,0.0,0.0,0.0,10,2003
1,2,80,98,9,1,482509,0,48.0,0.0,0.0,0.0,10,2003
2,1,80,98,6,1,482546,0,48.0,0.0,0.0,0.0,11,2003
1,2,80,98,9,1,482554,1,48.0,0.0,0.0,0.0,11,2003
2,2,80,98,9,0,482554,0,48.0,0.0,0.0,0.0,11,2003
1,1,80,98,9,1,482555,1,48.0,2.0,0.0,0.0,11,2003
2,1,80,0,9,1,482557,0,48.0,0.0,0.0,0.0,11,2003
2,1,80,98,9,1,482578,0,48.0,0.0,0.0,0.0,11,2003
1,1,80,98,9,1,482585,0,48.0,0.0,0.0,0.0,11,2003
1,1,80,98,4,1,482606,0,48.0,0.0,0.0,0.0,11,2003
1,1,80,98,2,1,482608,1,48.0,1.0,0.0,1.0,11,2003
1,1,80,98,2,1,482614,0,48.0,1.0,0.0,1.0,11,2003
1,1,80,98,9,1,482666,0,48.0,1.0,0.0,0.0,11,2003
1,2,80,98,6,1,482671,1,48.0,1.0,0.0,1.0,11,2003
1,1,80,98,9,1,482677,0,48.0,0.0,0.0,1.0,11,2003
1,1,80,98,9,1,482685,0,48.0,1.0,0.0,2.0,11,2003
1,1,80,98,6,1,482687,1,48.0,0.0,0.0,0.0,11,2003
1,1,80,98,2,1,482722,1,48.0,0.0,0.0,0.0,10,2003
1,2,80,98,9,1,482729,1,48.0,0.0,0.0,1.0,10,2003
1,1,80,98,4,1,482783,0,48.0,0.0,0.0,0.0,11,2003
1,2,80,98,9,2,482811,1,48.0,0.0,0.0,3.0,12,2003
1,1,80,98,9,1,482835,1,48.0,1.0,0.0,2.0,12,2003
1,1,80,98,9,1,482836,1,48.0,0.0,0.0,0.0,12,2003
1,2,80,98,2,1,482843,0,48.0,0.0,0.0,0.0,12,2003
2,2,80,98,2,0,482843,0,48.0,1.0,0.0,0.0,12,2003
2,1,80,98,4,1,482845,1,48.0,0.0,0.0,0.0,12,2003
3,2,80,98,9,2,482847,0,48.0,1.0,0.0,0.0,12,2003
1,1,80,98,9,1,482850,1,48.0,0.0,0.0,0.0,12,2003
1,1,80,98,9,1,482871,1,48.0,1.0,0.0,0.0,12,2003
1,1,80,98,6,1,482906,1,48.0,0.0,0.0,1.0,12,2003
2,1,80,98,9,1,482921,0,48.0,1.0,0.0,0.0,12,2003
1,1,80,68,6,1,482925,0,48.0,0.0,0.0,0.0,12,2003
2,1,80,98,6,1,482944,0,48.0,0.0,0.0,0.0,12,2003
2,1,80,98,4,1,482961,0,48.0,0.0,0.0,1.0,12,2003
2,1,80,98,4,1,483008,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,2,1,483016,0,48.0,0.0,0.0,1.0,11,2003
2,1,80,98,6,1,483017,0,40.0,0.0,0.0,0.0,11,2003
1,1,80,98,4,1,483036,0,48.0,0.0,0.0,0.0,11,2003
2,2,80,98,4,2,483046,0,48.0,0.0,0.0,1.0,12,2003
2,1,80,98,9,1,483052,0,48.0,0.0,0.0,0.0,12,2003
2,1,80,98,6,1,483057,0,48.0,0.0,0.0,2.0,12,2003
1,2,80,98,6,1,483062,1,48.0,0.0,0.0,0.0,12,2003
1,1,80,98,9,1,483068,1,48.0,0.0,0.0,0.0,12,2003
2,1,80,98,4,1,483081,1,48.0,1.0,0.0,1.0,12,2003
3,1,80,98,4,0,483081,0,48.0,0.0,0.0,0.0,12,2003
1,1,80,98,4,1,483087,0,48.0,2.0,0.0,0.0,12,2003
1,1,80,98,2,1,483097,0,48.0,1.0,0.0,0.0,12,2003
1,1,80,98,9,1,483106,0,48.0,0.0,0.0,0.0,12,2003
2,1,80,98,9,1,483119,1,48.0,0.0,0.0,0.0,12,2003
3,1,80,98,9,0,483119,1,48.0,1.0,0.0,0.0,12,2003
2,1,80,98,2,1,483125,0,48.0,3.0,0.0,0.0,12,2003
2,1,80,98,4,1,483130,0,48.0,0.0,0.0,0.0,8,2003
2,1,80,98,9,1,483135,0,48.0,0.0,0.0,0.0,10,2003
2,1,80,0,4,1,483141,0,48.0,0.0,0.0,0.0,11,2003
2,1,80,98,6,1,483160,0,48.0,0.0,0.0,0.0,2,2003
2,1,80,98,6,1,483161,0,51.0,0.0,0.0,2.0,2,2003
1,1,80,98,4,1,483167,1,48.0,0.0,0.0,0.0,3,2003
2,1,80,98,6,1,483184,0,48.0,0.0,0.0,0.0,7,2003
1,1,80,98,2,1,483190,1,29.0,0.0,0.0,1.0,8,2003
1,2,80,98,4,1,483193,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,6,1,483198,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,4,1,483204,1,48.0,1.0,0.0,0.0,11,2003
2,1,80,98,6,1,483207,0,48.0,0.0,0.0,0.0,11,2003
1,1,80,98,4,1,483239,0,48.0,0.0,0.0,1.0,12,2003
1,1,80,98,9,1,483245,1,48.0,0.0,0.0,0.0,4,2003
