STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN
6,60633,3,2,0,18,2,16,50,12,7,3,0,6,6,42,461,42461,21,2016,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,13,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60633,4,2,0,18,2,16,50,12,7,3,0,6,6,42,461,42461,21,2017,8BNPF4CC0HE1,8,B,N,P,F,4,C,C,0,H,E,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60633,5,2,0,18,2,16,50,12,7,3,0,6,6,12,870,12870,55,2016,1FDWS8PM4GKB,1,F,D,W,S,8,P,M,4,G,K,B,0,99,999999999,99999999999,2,21,22,1,0,0,0,0,6,3,0,0,98,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60662,4,3,0,13,2,18,30,12,2,2,0,6,6,12,32,12032,5,2014,3FADP4EJ5EM1,3,F,A,D,P,4,E,J,5,E,M,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
6,60700,2,1,0,13,5,0,41,14,0,2,0,6,6,84,881,84881,66,2014,3HSDJSNRXEN7,3,H,S,D,J,S,N,R,X,E,N,7,0,57,3056346,573056346,3,5,96,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0,777777777777,777777777777,777777777777
6,60707,2,1,0,6,5,18,40,1,0,2,0,6,6,6,441,6441,20,2010,2A4RR4DE9AR3,2,A,4,R,R,4,D,E,9,A,R,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60766,2,1,0,7,6,3,25,14,0,2,0,6,6,35,43,35043,4,2016,3N1AB7AP5GY3,3,N,1,A,B,7,A,P,5,G,Y,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,6,2,14,0,0,0,0,777777777777,777777777777,777777777777
6,60766,3,1,0,7,6,3,25,14,0,2,0,6,6,49,40,49040,4,2007,4T1BE46K27U5,4,T,1,B,E,4,6,K,2,7,U,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
6,60766,4,1,0,7,6,3,25,14,0,2,0,6,6,35,47,35047,4,2016,1N4AL3APXGC2,1,N,4,A,L,3,A,P,X,G,C,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60793,3,2,0,26,5,22,50,12,6,2,0,6,6,7,442,7442,20,2016,2C4RDGEG9GR3,2,C,4,R,D,G,E,G,9,G,R,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
