ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10289,1,1,0,0,0,0,0,0,0,0,0,0
10289,2,1,0,0,0,0,0,0,0,0,0,0
10290,0,1,0,0,0,0,0,0,0,0,0,0
10290,1,1,0,0,0,0,0,0,0,0,0,0
10291,1,1,0,0,0,0,0,0,0,0,0,0
10291,2,1,0,0,0,0,0,0,0,0,0,0
10292,0,1,0,16,34,0,0,0,0,0,0,0
10292,1,1,0,0,0,0,0,0,0,0,0,0
10293,1,1,0,0,0,0,0,0,0,0,0,0
10294,1,1,10,10,10,10,10,10,10,10,10,10
10295,1,1,0,0,0,0,0,0,0,13,0,0
10296,1,1,1,1,1,1,1,1,1,1,1,1
10296,2,1,0,0,0,0,0,0,0,0,0,0
10297,1,1,19,19,19,19,19,19,19,19,19,19
10298,1,1,19,19,19,19,19,19,19,19,19,19
10299,1,1,3,3,3,3,3,3,3,3,3,3
10300,1,1,0,0,0,0,0,0,0,0,0,0
10301,0,1,9,14,0,0,0,0,23,22,30,21
10301,1,1,0,0,0,0,0,0,0,0,0,0
10302,1,1,0,0,0,0,0,0,0,0,0,0
10303,1,1,0,0,0,0,0,0,0,0,0,0
10304,1,1,29,29,29,29,29,29,29,29,29,29
10305,1,1,18,18,18,18,18,18,18,18,18,18
10306,0,1,0,0,0,0,0,0,0,0,0,0
10306,1,1,0,0,0,0,0,0,0,0,0,0
10307,1,1,0,0,0,0,0,0,16,0,0,0
10307,2,1,0,0,0,0,0,0,0,0,0,0
10308,1,1,0,0,0,0,0,0,0,0,0,0
10309,1,1,0,11,0,0,0,10,0,0,0,19
10310,1,1,0,0,0,0,0,0,0,0,0,0
10310,2,1,0,0,0,0,0,0,0,0,0,0
10311,0,1,24,24,24,24,24,24,24,24,24,24
10311,1,1,0,0,0,0,0,0,0,0,0,0
10312,1,1,0,0,0,0,0,0,0,0,0,0
10313,1,1,14,14,14,14,14,14,14,14,14,14
10314,0,1,30,30,30,30,30,30,30,30,30,30
10314,1,1,0,12,0,0,11,0,0,0,0,0
10315,1,1,0,0,0,0,0,0,0,0,0,0
10315,2,1,0,0,0,0,0,0,0,0,0,0
10316,1,1,0,9,5,29,0,0,24,3,25,17
10317,0,1,14,0,0,0,0,0,0,0,0,0
10317,1,1,0,0,0,11,0,0,0,0,0,0
10318,1,1,0,0,0,0,0,0,0,0,0,0
10318,2,1,0,0,0,0,0,0,0,0,0,0
10319,1,1,0,0,0,0,0,0,0,0,0,0
10320,1,1,17,17,17,17,17,17,17,17,17,17
10321,1,1,0,0,0,0,0,0,0,0,0,0
10321,2,1,0,0,0,0,0,0,0,0,0,0
10322,1,1,17,17,17,17,17,17,17,17,17,17
10322,2,1,0,0,0,15,0,0,0,0,0,0
10323,1,1,0,0,0,31,0,0,0,0,0,0
10323,2,1,0,0,0,0,0,0,0,0,0,0
10324,0,1,0,0,0,0,0,0,0,0,0,0
10324,1,1,0,0,0,0,0,0,0,0,0,0
