YEAR,STATE,ST_CASE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
2010,1,10108,103,1,1,4,1,2,1,2,4,2,5,1,1,3,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10109,15,1,1,4,1,1,3,2,1,2,1,2,1,1,2,2,1,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10110,73,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10111,73,1,1,4,2,2,4,2,6,2,1,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10112,115,1,1,4,2,2,4,2,4,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10113,93,1,1,4,1,2,1,2,3,3,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2010,1,10114,97,1,1,4,2,1,3,2,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10115,31,1,1,4,1,2,1,1,4,1,4,1,1,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,1,2,0,0,0
2010,1,10117,97,1,1,4,2,2,4,2,5,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10118,13,1,1,4,2,2,1,1,4,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2010,1,10119,95,1,1,4,2,2,4,2,6,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10120,73,1,1,4,2,2,1,2,5,2,1,2,2,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10121,73,1,1,4,2,2,1,1,5,1,4,2,1,2,2,2,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
2010,1,10122,97,1,1,4,2,2,1,2,5,2,3,1,1,3,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2010,1,10123,55,1,1,4,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10124,73,1,1,4,2,2,1,2,6,2,1,1,1,1,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,2,0,0,0
2010,1,10125,97,2,1,4,2,2,4,2,4,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10126,97,1,1,4,2,2,1,2,2,2,3,1,1,3,2,2,2,2,2,1,2,3,2,2,1,1,2,1,1,1,2,2,2,0,0,0
2010,1,10127,95,1,1,4,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2010,1,10128,97,1,1,4,2,2,1,2,5,3,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10129,95,1,1,4,2,2,4,2,4,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2010,1,10130,91,1,1,4,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2010,1,10131,49,1,1,4,1,1,4,2,1,2,1,1,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10132,21,1,1,4,1,2,1,2,5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2010,1,10133,57,1,1,4,1,2,4,2,6,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10134,127,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
