STATE,ST_CASE,VEH_NO,PER_NO,MSAFEQMT
6,61901,0,1,8
6,61902,0,1,8
6,61903,0,1,1
6,61904,0,1,8
6,61905,0,1,1
6,61906,0,1,8
6,61907,0,1,8
6,61908,0,1,8
6,61909,0,1,8
6,61910,0,1,8
6,61911,0,1,8
6,61912,0,1,8
6,61913,0,1,8
6,61913,0,2,8
6,61914,0,1,1
6,61915,0,1,8
6,61916,0,1,1
6,61917,0,1,8
6,61918,0,1,8
6,61921,0,1,8
6,61922,0,1,8
6,61923,0,1,2
6,61924,0,1,2
6,61925,0,1,8
6,61926,0,1,1
6,61927,0,1,1
6,61931,0,1,8
6,61932,0,1,1
6,61933,0,1,8
6,61935,0,1,1
6,61936,0,1,8
6,61937,0,1,8
6,61938,0,1,8
6,61940,0,1,8
6,61941,0,1,8
6,61942,0,1,8
6,61943,0,1,1
6,61943,0,2,1
6,61943,0,3,1
6,61943,0,4,1
6,61944,0,1,8
6,61944,0,2,8
6,61945,0,1,8
6,61946,0,1,8
6,61946,0,2,8
6,61947,0,1,8
6,61948,0,1,8
6,61950,0,1,8
6,61951,0,1,1
6,61953,0,1,8
6,61954,0,1,8
6,61955,0,1,8
6,61956,0,1,1
6,61957,0,1,8
6,61958,0,1,8
6,61960,0,1,8
6,61961,0,1,8
6,61962,0,1,8
6,61962,0,2,8
6,61963,0,1,8
6,61964,0,1,8
6,61965,0,1,8
6,61966,0,1,8
6,61967,0,1,8
6,61967,0,2,8
6,61968,0,1,1
6,61969,0,1,2
6,61970,0,1,8
6,61970,0,2,8
6,61971,0,1,1
6,61972,0,1,8
6,61973,0,1,8
6,61974,0,1,1
6,61975,0,1,8
6,61976,0,1,8
6,61977,0,1,8
6,61979,0,1,8
6,61980,0,1,8
6,61981,0,1,8
6,61983,0,1,8
6,61984,0,1,8
6,61985,0,1,8
6,61986,0,1,8
6,61987,0,1,8
6,61988,0,1,8
6,61989,0,1,8
6,61990,0,1,8
6,61991,0,1,8
6,61993,0,1,8
6,61994,0,1,8
6,61995,0,1,8
6,61996,0,1,8
6,61997,0,1,8
6,61998,0,1,1
6,61999,0,1,8
6,62000,0,1,8
6,62001,0,1,8
6,62002,0,1,8
6,62003,0,1,8
6,62004,0,1,1
6,62005,0,1,8
6,62056,0,1,2
6,62059,0,1,8
6,62060,0,1,1
6,62061,0,1,8
6,62062,0,1,8
6,62063,0,1,1
6,62064,0,1,8
6,62065,0,1,1
6,62066,0,1,8
6,62067,0,1,8
6,62068,0,1,8
6,62069,0,1,8
6,62070,0,1,8
6,62071,0,1,8
6,62073,0,1,8
6,62074,0,1,8
6,62075,0,1,1
6,62190,0,1,8
6,62191,0,1,8
6,62192,0,1,8
6,62193,0,1,8
6,62194,0,1,8
6,62195,0,1,8
6,62196,0,1,8
6,62199,0,1,8
6,62200,0,1,1
6,62201,0,1,8
6,62204,0,1,8
6,62207,0,1,8
6,62208,0,1,2
6,62209,0,1,8
6,62210,0,1,8
6,62212,0,1,8
6,62215,0,1,8
6,62216,0,1,8
6,62217,0,1,8
6,62218,0,1,8
6,62221,0,1,8
6,62222,0,1,8
6,62223,0,1,8
6,62224,0,1,8
6,62227,0,1,8
6,62228,0,1,1
6,62229,0,1,1
6,62230,0,1,8
6,62231,0,1,1
6,62232,0,1,8
6,62233,0,1,1
6,62234,0,1,1
6,62237,0,1,8
6,62238,0,1,1
6,62239,0,1,8
6,62240,0,1,8
6,62240,0,2,8
6,62242,0,1,8
6,62274,0,1,8
6,62275,0,1,8
6,62275,0,2,8
6,62276,0,1,8
6,62277,0,1,8
6,62328,0,1,8
6,62330,0,1,8
6,62331,0,1,8
6,62332,0,1,8
6,62333,0,1,8
6,62335,0,1,8
6,62336,0,1,8
6,62338,0,1,8
6,62339,0,1,8
6,62340,0,1,8
6,62376,0,1,8
6,62377,0,1,8
6,62378,0,1,1
6,62388,0,1,1
6,62388,0,2,1
6,62397,0,1,8
6,62410,0,1,8
6,62411,0,1,8
6,62424,0,1,1
6,62447,0,1,8
6,62457,0,1,9
6,62471,0,1,8
6,62483,0,1,3
6,62486,0,1,8
6,62487,0,1,8
6,62488,0,1,8
6,62495,0,1,8
6,62497,0,1,8
6,62502,0,1,1
6,62502,0,2,1
6,62504,0,1,8
6,62505,0,1,8
6,62508,0,1,1
6,62510,0,1,8
8,80009,0,1,1
8,80020,0,1,1
8,80031,0,1,1
8,80038,0,1,1
8,80047,0,1,1
8,80048,0,1,1
8,80049,0,1,1
8,80064,0,1,1
8,80068,0,1,1
8,80076,0,1,1
8,80077,0,1,1
8,80088,0,1,1
8,80092,0,1,1
8,80101,0,1,1
8,80107,0,1,1
8,80126,0,1,1
8,80154,0,1,2
8,80162,0,1,1
8,80199,0,1,1
8,80201,0,1,1
8,80204,0,1,1
8,80204,0,2,1
8,80208,0,1,1
8,80220,0,1,1
8,80234,0,1,1
8,80236,0,1,1
8,80241,0,1,1
8,80253,0,1,1
8,80271,0,1,1
8,80278,0,1,1
8,80286,0,1,1
8,80290,0,1,1
8,80291,0,1,1
8,80307,0,1,3
8,80313,0,1,1
8,80321,0,1,1
8,80325,0,1,1
8,80328,0,1,1
8,80329,0,1,1
8,80334,0,1,1
8,80336,0,1,1
8,80337,0,1,1
8,80356,0,1,1
8,80387,0,1,1
8,80388,0,1,1
8,80389,0,1,1
8,80401,0,1,1
8,80406,0,1,1
8,80409,0,1,1
8,80409,0,2,1
8,80409,0,3,1
9,90009,0,1,8
9,90013,0,1,1
9,90020,0,1,1
9,90026,0,1,8
9,90030,0,1,1
9,90036,0,1,1
9,90040,0,1,1
9,90042,0,1,1
9,90079,0,1,1
9,90091,0,1,1
9,90094,0,1,1
9,90095,0,1,2
9,90095,0,1,3
9,90100,0,1,1
9,90113,0,1,1
9,90118,0,1,1
9,90127,0,1,1
9,90131,0,1,3
9,90138,0,1,1
9,90140,0,1,8
9,90148,0,1,1
9,90151,0,1,1
9,90155,0,1,1
9,90169,0,1,1
9,90170,0,1,1
9,90171,0,1,1
9,90174,0,1,1
9,90176,0,1,1
9,90183,0,1,1
9,90186,0,1,1
9,90186,0,2,1
9,90191,0,1,1
9,90202,0,1,1
9,90204,0,1,1
9,90206,0,1,1
9,90214,0,1,1
9,90217,0,1,1
9,90223,0,1,1
9,90236,0,1,1
9,90239,0,1,1
9,90240,0,1,1
9,90243,0,1,1
9,90244,0,1,1
9,90251,0,1,1
9,90255,0,1,1
9,90256,0,1,9
9,90262,0,1,1
9,90269,0,1,1
9,90274,0,1,3
9,90275,0,1,1
9,90282,0,1,1
9,90284,0,1,1
9,90287,0,1,1
9,90289,0,1,1
9,90292,0,1,8
9,90294,0,1,1
10,100001,0,1,1
10,100003,0,1,1
10,100005,0,1,1
10,100010,0,1,1
10,100013,0,1,1
10,100014,0,1,1
10,100017,0,1,1
10,100021,0,1,1
10,100022,0,1,1
10,100025,0,1,1
10,100030,0,1,1
10,100035,0,1,1
10,100040,0,1,1
10,100040,0,2,1
10,100049,0,1,1
10,100050,0,1,1
10,100053,0,1,1
10,100056,0,1,1
10,100065,0,1,1
10,100072,0,1,1
10,100073,0,1,1
10,100076,0,1,1
10,100077,0,1,8
10,100083,0,1,1
10,100088,0,1,1
10,100089,0,1,1
11,110002,0,1,1
11,110004,0,1,1
11,110005,0,1,1
11,110006,0,1,1
11,110007,0,1,1
