ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10424,0,0,0,0,0,0,0,0,7,16
10425,0,0,0,0,0,0,0,23,0,0
10426,0,0,0,0,0,0,0,0,0,0
10427,0,0,0,0,0,0,0,0,0,0
10428,17,22,15,24,19,18,0,0,20,0
10429,17,17,17,17,17,17,17,17,17,17
10430,26,26,26,26,26,26,26,26,26,26
10431,10,10,10,10,10,10,10,10,10,10
10432,18,18,18,18,18,18,18,18,18,18
10433,11,11,14,18,15,16,35,32,18,19
10434,0,0,0,0,0,0,0,0,0,0
10435,5,5,5,5,5,5,5,5,5,5
10436,8,8,8,8,8,8,8,8,8,8
10437,0,0,0,0,0,0,0,0,0,0
10438,0,0,0,0,0,0,0,0,0,0
10439,26,26,26,26,26,26,26,26,26,26
10440,26,26,26,26,26,26,26,26,26,26
10441,0,0,0,0,0,0,0,0,0,0
10442,0,20,0,0,0,0,0,18,0,0
10443,1,1,1,1,1,1,1,1,1,1
10444,11,6,11,16,21,13,5,13,18,6
10445,0,0,0,0,0,0,0,0,0,0
10446,0,0,0,0,0,0,0,0,0,21
10447,40,9,0,30,14,0,0,0,9,0
10448,0,0,0,0,0,0,0,0,0,0
10449,22,22,22,22,22,22,22,22,22,22
10450,18,28,3,33,4,16,19,32,15,7
10451,0,0,0,22,11,6,0,0,3,0
10452,0,0,0,0,0,0,0,0,0,0
10453,0,0,15,0,0,0,0,0,0,0
10454,14,14,14,14,14,14,14,14,14,14
10455,0,0,0,0,0,0,0,0,0,0
10456,18,18,18,18,18,18,18,18,18,18
10457,0,0,0,0,0,0,0,0,0,0
10458,37,9,0,24,30,35,20,0,14,18
10459,15,15,15,15,15,15,15,15,15,15
10460,0,0,0,0,0,0,0,0,0,0
10461,14,14,14,14,14,14,14,14,14,14
10462,7,7,7,7,7,7,7,7,7,7
10463,0,0,0,0,0,0,0,0,0,0
10464,9,9,9,9,9,9,9,9,9,9
10465,0,19,10,0,0,8,27,0,0,0
10466,15,15,15,15,15,15,15,15,15,15
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0
10469,13,0,10,13,6,17,0,0,0,8
10470,0,0,0,0,0,0,0,0,0,0
10471,0,0,0,0,0,0,0,0,0,0
10472,7,7,7,7,7,7,7,7,7,7
10473,11,15,19,23,27,20,8,13,9,11
10474,0,0,14,0,0,11,0,0,0,0
10475,0,0,0,0,0,0,0,0,0,0
10476,0,0,0,0,0,0,0,0,0,0
10477,0,0,0,0,0,0,0,0,0,0
10478,0,0,0,0,0,0,0,0,0,0
10479,0,0,0,0,0,0,0,0,0,0
10480,12,12,12,12,12,12,12,12,12,12
10481,25,25,25,25,25,25,25,25,25,25
10482,15,10,22,4,20,24,17,29,8,19
10483,0,0,0,0,0,0,0,0,0,0
10484,0,0,0,0,0,0,0,0,0,16
10485,0,0,0,0,0,0,0,0,0,0
